year,month,value
2003,янв,102.0
2003,фев,102.0
2003,мар,96.9
2003,апр,98.2
2003,май,96.1
2003,июн,97.7
2003,июл,98.5
2003,авг,99.5
2003,сен,101.3
2003,окт,107.1
2003,ноя,107.4
2003,дек,104.8
2004,янв,104.5
2004,фев,102.8
2004,мар,98.0
2004,апр,98.0
2004,май,98.3
2004,июн,96.1
2004,июл,100.5
2004,авг,100.8
2004,сен,102.3
2004,окт,103.2
2004,ноя,109.6
2004,дек,106.0
2005,янв,100.3
2005,фев,97.4
2005,мар,98.3
2005,апр,95.3
2005,май,95.4
2005,июн,97.8
2005,июл,98.6
2005,авг,103.5
2005,сен,108.0
2005,окт,104.3
2005,ноя,104.3
2005,дек,107.4
2006,янв,101.9
2006,фев,98.8
2006,мар,96.1
2006,апр,96.5
2006,май,98.9
2006,июн,96.6
2006,июл,97.6
2006,авг,100.4
2006,сен,102.7
2006,окт,105.6
2006,ноя,101.9
2006,дек,105.1
2007,янв,105.1
2007,фев,97.5
2007,мар,101.5
2007,апр,98.6
2007,май,95.0
2007,июн,99.2
2007,июл,100.0
2007,авг,108.0
2007,сен,111.5
2007,окт,108.5
2007,ноя,103.2
2007,дек,101.7
2008,янв,104.3
2008,фев,101.6
2008,мар,99.9
2008,апр,99.5
2008,май,100.2
2008,июн,100.6
2008,июл,100.2
2008,авг,100.3
2008,сен,101.1
2008,окт,102.5
2008,ноя,102.6
2008,дек,104.0
2009,янв,102.4
2009,фев,99.2
2009,мар,96.3
2009,апр,97.4
2009,май,99.0
2009,июн,98.4
2009,июл,98.1
2009,авг,99.5
2009,сен,101.0
2009,окт,101.3
2009,ноя,101.5
2009,дек,102.4
2010,янв,100.9
2010,фев,99.9
2010,мар,98.4
2010,апр,98.6
2010,май,98.3
2010,июн,98.7
2010,июл,99.2
2010,авг,100.5
2010,сен,103.5
2010,окт,105.3
2010,ноя,103.4
2010,дек,105.1
2011,янв,103.8
2011,фев,102.0
2011,мар,97.0
2011,апр,98.5
2011,май,97.2
2011,июн,97.3
2011,июл,96.9
2011,авг,100.8
2011,сен,104.5
2011,окт,104.2
2011,ноя,102.4
2011,дек,104.5
2012,янв,102.1
2012,фев,100.2
2012,мар,98.9
2012,апр,97.3
2012,май,96.2
2012,июн,96.3
2012,июл,97.0
2012,авг,100.1
2012,сен,106.4
2012,окт,107.3
2012,ноя,102.3
2012,дек,104.3
2013,янв,101.3
2013,фев,99.3
2013,мар,98.7
2013,апр,97.7
2013,май,97.1
2013,июн,97.6
2013,июл,99.5
2013,авг,99.7
2013,сен,104.0
2013,окт,104.4
2013,ноя,102.7
2013,дек,104.8
2014,янв,101.2
2014,фев,98.7
2014,мар,99.8
2014,апр,100.0
2014,май,98.5
2014,июн,98.6
2014,июл,101.5
2014,авг,101.4
2014,сен,102.2
2014,окт,102.0
2014,ноя,101.7
2014,дек,105.6
2015,янв,101.1
2015,фев,99.2
2015,мар,97.9
2015,апр,96.5
2015,май,97.6
2015,июн,94.5
2015,июл,98.2
2015,авг,100.0
2015,сен,101.5
2015,окт,101.6
2015,ноя,101.1
2015,дек,105.2
2016,янв,101.3
2016,фев,99.3
2016,мар,97.8
2016,апр,97.7
2016,май,97.6
2016,июн,97.5
2016,июл,98.7
2016,авг,99.1
2016,сен,101.5
2016,окт,103.0
2016,ноя,103.8
2016,дек,103.2
2017,янв,101.1
2017,фев,99.9
2017,мар,98.0
2017,апр,98.2
2017,май,97.4
2017,июн,97.9
2017,июл,99.0
2017,авг,100.3
2017,сен,101.3
2017,окт,102.0
2017,ноя,101.7
2017,дек,102.8
2018,янв,101.3
2018,фев,99.7
2018,мар,98.0
2018,апр,97.3
2018,май,98.4
2018,июн,98.9
2018,июл,99.0
2018,авг,100.4
2018,сен,101.4
2018,окт,103.0
2018,ноя,101.9
2018,дек,101.5
2019,янв,100.6
2019,фев,99.6
2019,мар,97.1
2019,апр,98.2
2019,май,99.1
2019,июн,99.9
2019,июл,100.0
2019,авг,101.0
2019,сен,101.0
2019,окт,100.6
2019,ноя,101.6
2019,дек,103.8
2020,янв,101.1
2020,фев,100.2
2020,мар,99.4
2020,апр,101.1
2020,май,98.5
2020,июн,98.7
2020,июл,99.8
2020,авг,100.2
2020,сен,99.8
2020,окт,102.3
2020,ноя,102.8
2020,дек,104.6
2021,янв,103.5
2021,фев,100.8
2021,мар,99.5
2021,апр,99.6
2021,май,99.6
2021,июн,98.8
2021,июл,99.0
2021,авг,99.8
2021,сен,101.2
2021,окт,103.4
2021,ноя,103.3
2021,дек,107.2
2022,янв,103.0
2022,фев,102.9
2022,мар,101.3
2022,апр,100.2
2022,май,98.8
2022,июн,99.0
2022,июл,99.8
2022,авг,101.3
2022,сен,102.4
2022,окт,103.0
2022,ноя,103.3
2022,дек,103.0
2023,янв,102.3
2023,фев,100.5
2023,мар,99.2
2023,апр,99.4
2023,май,98.3
2023,июн,98.8
2023,июл,99.7
2023,авг,100.7
2023,сен,101.1
2023,окт,101.5
2023,ноя,101.8
2023,дек,102.2
2024,янв,102.6
2024,фев,100.5
2024,мар,99.2
2024,апр,98.6
2024,май,98.2
2024,июн,97.8
2024,июл,99.0
2024,авг,99.8
2024,сен,101.5
2024,окт,101.4
2024,ноя,101.1
2024,дек,102.6
2025,янв,101.1
2025,фев,99.9
2025,мар,98.3
2025,апр,98.2
2025,май,99.1
2025,июн,99.3
2025,июл,99.2
2025,авг,100.1
2025,сен,100.7
2025,окт,103.9
